cohort_month,cash_request_id,status,cash_request_amount
2020-06,5989.0,3,100.0
2020-06,6004.0,3,100.0
2020-06,6006.0,4,50.0
2020-06,6012.0,3,50.0
2020-06,6015.0,3,100.0
2020-06,6017.0,3,100.0
2020-06,6026.0,4,100.0
2020-06,6032.0,3,100.0
2020-06,6033.0,3,20.0
2020-06,6040.0,3,100.0
2020-07,6046.0,4,100.0
2020-07,6047.0,3,100.0
2020-07,6053.0,4,100.0
2020-07,6059.0,3,100.0
2020-07,6065.0,3,100.0
2020-07,6082.0,3,100.0
2020-07,6098.0,4,100.0
2020-07,6104.0,3,50.0
2020-07,6113.0,3,100.0
2020-07,6114.0,3,50.0
2020-07,6120.0,3,100.0
2020-07,6156.0,3,20.0
2020-07,6174.0,4,100.0
2020-07,6182.0,3,50.0
2020-07,6192.0,3,100.0
2020-07,6205.0,4,100.0
2020-07,6234.0,3,50.0
2020-07,6258.0,3,100.0
2020-07,6271.0,3,100.0
2020-07,6284.0,3,50.0
2020-07,6289.0,4,100.0
2020-07,6305.0,3,100.0
2020-07,6312.0,3,100.0
2020-07,6317.0,3,100.0
2020-07,6318.0,3,100.0
2020-07,6319.0,3,100.0
2020-07,6322.0,3,50.0
2020-07,6334.0,3,100.0
2020-07,6357.0,,100.0
2020-07,6372.0,3,100.0
2020-07,6393.0,3,100.0
2020-07,6413.0,3,100.0
2020-07,6430.0,3,100.0
2020-07,6433.0,4,100.0
2020-07,6437.0,3,100.0
2020-07,6477.0,3,100.0
2020-07,6487.0,4,50.0
2020-07,6494.0,4,15.0
2020-07,6510.0,3,100.0
2020-07,6535.0,3,100.0
2020-07,6541.0,4,100.0
2020-07,6549.0,3,30.0
2020-07,6561.0,3,100.0
2020-07,6563.0,3,100.0
2020-07,6574.0,3,100.0
2020-07,6578.0,3,100.0
2020-07,6582.0,4,100.0
2020-07,6589.0,3,60.0
2020-07,6599.0,3,100.0
2020-07,6606.0,4,100.0
2020-07,6610.0,3,100.0
2020-07,6616.0,3,50.0
2020-07,6619.0,3,50.0
2020-07,6620.0,3,100.0
2020-07,6624.0,3,50.0
2020-07,6625.0,3,100.0
2020-07,6626.0,3,50.0
2020-07,6642.0,3,100.0
2020-07,6647.0,3,100.0
2020-07,6653.0,4,100.0
2020-07,6663.0,4,100.0
2020-07,6675.0,3,100.0
2020-07,6688.0,3,100.0
2020-07,6708.0,3,100.0
2020-07,6711.0,3,50.0
2020-07,6712.0,3,100.0
2020-07,6718.0,3,100.0
2020-07,6732.0,3,100.0
2020-07,6744.0,4,100.0
2020-07,6749.0,3,100.0
2020-07,6750.0,4,20.0
2020-07,6768.0,4,100.0
2020-07,6785.0,3,100.0
2020-07,6788.0,3,100.0
2020-07,6789.0,3,100.0
2020-07,6791.0,3,100.0
2020-07,6803.0,4,100.0
2020-07,6811.0,4,100.0
2020-07,6824.0,3,100.0
2020-07,6827.0,3,100.0
2020-07,6829.0,3,100.0
2020-07,6833.0,2,50.0
2020-07,6839.0,4,100.0
2020-07,6847.0,3,100.0
2020-07,6852.0,4,100.0
2020-07,6862.0,3,100.0
2020-07,6869.0,3,100.0
2020-07,6894.0,3,100.0
2020-07,6905.0,3,100.0
2020-07,6913.0,4,50.0
2020-07,6927.0,4,100.0
2020-07,6934.0,,100.0
2020-07,6939.0,4,100.0
2020-07,6941.0,3,90.0
2020-07,6942.0,3,100.0
2020-07,6943.0,4,100.0
2020-07,6945.0,3,100.0
2020-07,6953.0,3,100.0
2020-07,6957.0,3,100.0
2020-07,6960.0,3,100.0
2020-07,6961.0,3,100.0
2020-07,6968.0,4,100.0
2020-07,6979.0,3,100.0
2020-07,6982.0,3,100.0
2020-07,6984.0,3,100.0
2020-07,6986.0,3,50.0
2020-07,6987.0,3,100.0
2020-07,6990.0,3,100.0
2020-07,6995.0,3,100.0
2020-07,7006.0,3,100.0
2020-07,7007.0,2,100.0
2020-07,7008.0,3,100.0
